,Date,Heading,News,url
0," October 16, 2023 12:20 am | Updated 08:21 am IST ","
Forest pitch: On the Chhattisgarh Assembly elections
","To enjoy additional benefitsCONNECT WITH US October 16, 2023 12:20 am | Updated 08:21 am IST 
COMMents
 SHARE

READ LATER
In Chhattisgarh, the ruling Congress has built an election plank with a mix of regional pride and welfarism. The Bharatiya Janata Party, its principal opponent, is targeting the government on corruption and non-fulfilment of election promises made five years ago. The Congress’s attempts to build a narrative around Chhattisgarhi sub-nationalism have made regional identity a key electoral theme for the first time since the State was formed in 2000. The party is also relying on its direct benefit transfer schemes such as the Rajiv Gandhi Kisan Nyay Yojana or the Godhan Nyay Yojana, or higher prices on minor forest produce that cover a major chunk of the rural and tribal populace. Rural housing is another issue that has been hotly contested with both sides accusing the other of being ineffective and insensitive in this regard. A government survey that has pegged the share of Other Backward Classes (OBC) in the State’s population at 43.5% forms the backdrop to the Congress’s special focus on the social group. The BJP has fielded OBC representatives in nearly two-thirds of the general seats. In the 90-strong Assembly, 10 seats are reserved for Scheduled Castes and 29 for Scheduled Tribes. Nine of 13 candidates announced by the Congress for general seats are from OBCs. Both parties exhibit their commitment towards OBCs, and tribes people who form nearly a third of the population seem to get less attention.The BJP has accused the government of large-scale corruption. The Enforcement Directorate is conducting a multitude of probes that entangle bureaucrats and other individuals linked to the government or the Congress party, including Chief Minister Bhupesh Baghel’s close aides. The Congress dismisses these allegations and accuses the Centre of running a witch-hunt against it. By fielding the father of a young man who died in communal riots and another riot accused against the lone Muslim face of the Baghel cabinet, the BJP has indicated that it is aiming at polarisation. The party is facing disenchantment among its workers who complain that too many old faces have been fielded again. The Congress, in its first list of 30, has dropped eight sitting Members of the Legislative Assembly and can expect some rebellion in the ranks too. Both parties claim credit for the reduction in violence in the insurgency-hit Bastar region, but a new political entrant, the Hamar Raj party, is hoping to harness tribal discontent against both. A rejuvenated Aam Aadmi Party (AAP), the declining Janta Congress Chhattisgarh founded by the late Ajit Jogi, and the Bahujan Samaj Party are also in the fray, but the contest will likely remain between the Congress and the BJP. 
COMMents
 SHARE

Chhattisgarh Assembly Elections 2023

/

Indian National Congress

/

welfare

/

election

/

politics

/

forests

/

Reservation

/

population

/

tribals

/

corruption & bribery

/

Bharatiya Janata Party

/

riots

/

Aam Aadmi Party
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/forest-pitch-the-hindu-editorial-on-the-2023-chhattisgarh-assembly-elections/article67423695.ece
1," October 16, 2023 12:10 am | Updated 12:10 am IST ","
Olympian heights: On India’s efforts to organise the 2036 edition
","To enjoy additional benefitsCONNECT WITH US October 16, 2023 12:10 am | Updated 12:10 am IST 
COMMents
 SHARE

READ LATER
From time immemorial, the Olympics has been used as a soft-power medium. Governments worldwide have bet on the sporting, economic and socio-cultural impact the games can leave, as well as on the political legitimacy the hosting of the event can bring. Post-World War Europe, post-apartheid South Africa and Brazil of the 2010s are vivid examples. Prime Minister Narendra Modi’s announcement at the International Olympic Committee (IOC) session in Mumbai that India “would leave no stone unturned” in its efforts to organise the 2036 edition of the quadrennial extravaganza is to be seen in this light. That India has also expressed an interest in the Youth Olympics as a precursor is a clear signal that it wants to shed the reticence that came with the unsavoury happenings at the scam-ridden and ineptly handled 2010 Delhi Commonwealth Games. Though the ratification of the host city for 2036 will take time — Brisbane was selected for the 2032 edition only in July 2021 — and there will be other claimants, the move lays bare India’s global ambitions. Be it through the desire for a permanent membership at the United Nations Security Council or the euphoria surrounding the G-20 presidency, India has consistently sought a seat at the high table. The tag of an Olympic host can give it a vantage position in a shifting world order.Sporting-wise, it is clear that India wants to benefit from the strong tailwind produced by the stellar 107-medal show at the recently concluded Asian Games. Ever since Abhinav Bindra won the nation’s first-ever individual Olympic gold at Beijing 2008, there has been a steady uptick in performances at multi-disciplinary competitions. There is even a firm belief that India will win double-digit medals at Paris 2024. While such confidence is not entirely misplaced, conducting a mega event such as the Olympics presents a humongous challenge. Costs are often prohibitive, as seen from the fierce public outcry during both Rio 2016 and Tokyo 2020. In the case of Tokyo, the financial burden was said to have ballooned to $15.4 billion, more than double the initial estimate. Recently, the Australian state of Victoria pulled out of hosting the 2026 Commonwealth Games because of mounting expenditure and the Canadian province of Alberta withdrew a bid for the 2030 edition. To avoid being seen as a populist ephemera in a deeply unequal society, the IOC has moved away from the one-size-fits-all solution and now asks potential organisers to present projects that best fit their economic, social and environmental realities. India’s success will depend on how it marries its aspirations with the inherent complexities.
COMMents
 SHARE

sport

/

Olympics

/

India

/

United Nations

/

Commonwealth Games

/

South Africa

/

Brazil

/

Australia

/

Japan

/

Canada

/

Prime Minister Narendra Modi

/

Mumbai

/

G-20 New Delhi 2023
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/olympian-heights-the-hindu-editorial-on-indias-efforts-to-organise-the-2036-olympics/article67423709.ece
2," October 14, 2023 12:20 am | Updated October 15, 2023 11:50 am IST ","
Balancing policy: On Israel, Palestine and India’s line
","To enjoy additional benefitsCONNECT WITH US October 14, 2023 12:20 am | Updated October 15, 2023 11:50 am IST 
COMMents
 SHARE

READ LATER
Within hours of the massacre of Israeli citizens by Hamas fighters last Saturday, Prime Minister Narendra Modi tweeted India’s solidarity with Israel. While the histories of their conflicts and the scale of violence have been very different, India has faced terror attacks all too often to not feel the pain in Israel where teenagers at a concert, children in a park, grandparents at home, and even babies in cribs were gunned down, amidst other atrocities Hamas carried out, including taking dozens hostage. The sentiments were repeated when Mr. Modi spoke to Israel Prime Minister Benjamin Netanyahu, condemning terrorism in all its forms. India’s second big concern has been the safety of its citizens, especially as Israel began retaliatory strikes on Gaza. Around 18,000 Indians work or study in Israel, in addition to about 85,000 Israelis of Indian origin (from Maharashtra, Manipur, Mizoram, Kerala, and West Bengal). The Ministry of External Affairs (MEA) has chartered flights to bring them home. New Delhi has also added nuance to the initial position, with the MEA delivering the government’s first formal statement. While repeating the condemnation of the Hamas attacks, the statement reminded Israel about the “universal obligation to observe international humanitarian law”, as it carries out “global responsibility to fight the menace of terrorism....” In addition, the MEA reiterated its “long-standing and consistent” position on the Palestine issue.The statement is a reminder of the tightrope India has walked since 1992, when New Delhi established full diplomatic ties with Israel, while continuing to support the Palestinian cause. There has been a shift towards Israel’s position, given increasingly close bilateral relations, trade, technological assistance, military procurement, and counter-terrorism cooperation. In 2017, Mr. Modi became the first Indian Prime Minister to visit Israel, while in 2018, Mr. Netanyahu visited India. However, Mr. Modi was also the first Indian Prime Minister to make an official visit to Palestine. In 2017, India voted against the U.S. and Israel for an attempt to declare unilaterally all of Jerusalem as the Israeli capital. The policy lines New Delhi is continuing to draw seem clear: to abhor terrorism, but not to condone indiscriminate reprisal bombings, even as it holds its consistent position on Palestine. No claim to righting historical grievances can possibly be used by Hamas to explain its inhuman attacks on Israel. However, a responsible state cannot behave like an insurgent group, and Israel’s latest demand, that more than a million Gaza residents must evacuate as it continues to pound the city and plans a possible ground offensive, will make Delhi’s challenge at balancing policy even more complex.
COMMents
 SHARE

Israel-Palestine Conflict

/

Israel

/

Palestine

/

act of terror

/

Prime Minister Narendra Modi

/

Manipur

/

Kerala

/

Mizoram

/

employment

/

education

/

diplomacy

/

West Bengal
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/balancing-policy-the-hindu-editorial-on-israel-palestine-and-indias-line/article67417504.ece
3," October 14, 2023 12:10 am | Updated 08:32 am IST ","
Triangular contest: On the Mizoram Assembly elections
","To enjoy additional benefitsCONNECT WITH US October 14, 2023 12:10 am | Updated 08:32 am IST 
COMMents
 SHARE

READ LATER
Mizoram, India’s second least populated State, where civil society predominates politics like, arguably, no other in the country, is poised to see a three-cornered battle in the Assembly elections scheduled in November. Unlike other States, Mizoram’s political contestation is less dependent on money and muscle power, as social service, public standing and the backing of religious and social organisations are key conditions for candidature. The ruling Mizo National Front has to contend not only with its traditional rival, the Indian National Congress, but also the Zoram Peoples’ Movement (ZPM), which has presented it a tough challenge this time. It is also facing desertion from its ranks with the Speaker, Lalrinliana Sailo, latching on to the Bharatiya Janata Party. Chief Minister Zoramthanga, a seasoned leader of the formerly insurgent MNF, has played the ethnic card to win support from the Mizo electorate. By championing the cause of the Kuki-Zo people, embroiled in an ethnic conflict in neighbouring Manipur and by ignoring a directive from the Union government to collect biometric data of refugees from Myanmar, citing their ethnic affinity with the Mizo people, Mr. Zoramthanga has tried to steal a march over his opponents. While all parties in Mizoram share the government’s and the ruling party’s view on this issue, the MNF’s vociferous positioning has given it an edge. During the peak of the conflict, civil society organisations managed demonstrations in solidarity with the Kuki-Zo people — an issue that has resonated with the Mizo electorate.The ZPM, meanwhile, has sought to harp on the MNF’s record on development and to leverage on its surprisingly good performance in the Lunglei Municipal Council polls, which indicate its enhanced urban base. In the rural areas, the strongest opposition to the MNF has emerged from the Congress, which is leading an alliance of parties, including the People’s Conference and the Zoram Nationalist Party. Inflation has remained a key concern in the State, even relative to the rest of India over the past year, and this could be one of the factors behind voter choice. Despite being a small State — 0.1% of India’s population and contributing close to 0.1% of the national GDP — Mizoram is a crucial border State with ample potential for economic growth led by the services and tourism sectors despite being a largely agrarian economy. It has also been regarded as an important gateway in India’s ‘Act East’ strategy, but progress on infrastructure and projects connecting Mizoram to Myanmar and beyond has been limited. The multi-party contest should raise consciousness of matters related to development as much as those related to ethnic solidarity. 
COMMents
 SHARE

Mizoram Assembly Elections 2023

/

Indian National Congress

/

Bharatiya Janata Party

/

national or ethnic minority

/

personal data collection

/

local elections

/

voting

/

economy (general)

/

national security

/

Myanmar

/

tourism
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/triangular-contest-on-the-mizoram-assembly-elections-in-november-2023/article67416992.ece
4," October 13, 2023 12:20 am | Updated 12:20 am IST ","
Jaipur gamble: On the Rajasthan Assembly elections
","To enjoy additional benefitsCONNECT WITH US October 13, 2023 12:20 am | Updated 12:20 am IST 
COMMents
 SHARE

READ LATER
Rajasthan has a history of incumbent governments losing power in the next election. The Congress government in Rajasthan led by Chief Minister Ashok Gehlot is trying to buck that trend, while the Bharatiya Janata Party (BJP) is relying on it to return to power, and simultaneously effect a change of leadership in the State. Both parties have internal issues to manage even as they face off in a likely straight battle for a majority in the 200-strong State Assembly. Polling is on November 25. To Mr. Gehlot’s credit, he has pulled the Congress up from the trench with a blitzkrieg of new welfare schemes and effective public outreach, blunting anti-incumbency and raising the hope of the cadres. Having averted the default defeat, the Congress’s prospects now depend on how well it selects candidates and gets its campaigning right in the last leg. Younger colleague and aspirant for the top post Sachin Pilot has buried the hatchet and thrown his weight behind Mr. Gehlot in this battle. Reporting so far indicates that while there is no anti-incumbency against the Chief Minister, individual Members of the Legislative Assembly (MLAs) of the Congress might be coming up against strong headwinds. This is a difficult situation for the party to tackle, and replacing the optimal number of sitting MLAs with fresh faces will be a test of Mr. Gehlot’s storied political skills.The BJP has been eager to shake off its dependence on former Chief Minister Vasundhara Raje, an assertive leader who commands her own following that is independent of the party. The central leadership of the party has made it clear that the party will not project a candidate for Chief Minister. Several of her confidantes have been denied ticket already, and more might face the axe. The BJP has fielded seven sitting Members of Parliament among the 41 candidates it has announced, and several of its leaders now nurture ambitions for the top post. Some of them have openly stated that a generational transition in the leadership of the party is underway. The party hopes that this confusion is immaterial in light of the popularity of Prime Minister Narendra Modi, and could even help it. Ms. Raje will look for ways short of an open rebellion to preserve her political standing in the State and the party. Of the five States that are going to the polls next month, the BJP central leadership has the highest stakes in Rajasthan. The outcome in Rajasthan will have the highest influence on its strategy for the Lok Sabha election in 2024 too.
COMMents
 SHARE

Rajasthan Assembly Elections 2023

/

Indian National Congress

/

Bharatiya Janata Party

/

politics

/

state politics

/

Prime Minister Narendra Modi

/

General Elections 2024
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/jaipur-gamble-the-hindu-editorial-on-the-2023-rajasthan-assembly-elections/article67412814.ece
5," October 13, 2023 12:10 am | Updated 10:39 am IST ","
Vendetta without limit: On the resurrection of an old case against Arundhati Roy
","To enjoy additional benefitsCONNECT WITH US October 13, 2023 12:10 am | Updated 10:39 am IST 
COMMents
 SHARE

READ LATER
The resurrection of a criminal case dating back to 2010 against writer-activist Arundhati Roy and an academician from Kashmir seems ill-motivated. There can be no other explanation for Delhi Lieutenant Governor V.K. Saxena granting sanction to prosecute Ms. Roy and Sheikh Showkat Hussain, a former Kashmir University professor, for alleged divisive speeches and imputations against national unity made in New Delhi as far back as on October 21, 2010. Coming in the wake of the recent arrest of Prabir Purkayastha, the Editor-in-Chief of NewsClick under an anti-terrorism law and other penal provisions, the revival of a 13-year-old case betrays intolerance and follows a pattern of vendetta against the state’s perceived civil society antagonists and outspoken critics. Significantly, the Delhi Police did not think the speeches merited prosecution for sedition at the time, as sought by a complainant before a Magistrate court. However, a Metropolitan Magistrate rejected the police contention and, on November 27, 2010, directed the filing of a first information report (FIR). The police complied with the order, invoking sections of the Indian Penal Code relating to sedition, statements promoting enmity between different groups, imputations against national integration and statements causing public mischief. The FIR also included Section 13 of the Unlawful Activities (Prevention) Act (UAPA) which seeks to punish “unlawful activities”.It is known that the government of the day did not wish to pursue any case against remarks made at the conclave titled ‘Azadi: the only way’, as it did not want to jeopardise an ongoing effort to find a political solution to the Kashmir issue through three interlocutors. At a time when much has changed in Kashmir since then, including a spell of elected rule and then the abrogation of Jammu and Kashmir’s special status and its division into two Union Territories, it makes little sense to criminalise past political speeches now. Mr. Saxena has approved prosecution for the other offences, but not sedition, as there is a Supreme Court of India bar on proceeding with sedition charges. It is not clear whether the police will press the UAPA charge, as Section 45 of the Act requires the sanction of the Central government, and the rules prescribe strict time limits to obtain it. It must be examined if the prosecution is barred by limitation. Under the Code of Criminal Procedure, the limitation for offences that entail prison terms of up to three years is three years. All three sections for which sanction has been granted — Sections 153A, 153B and 505 — attract a three-year jail term. Even though the Code permits the exclusion of the period during which sanction is awaited while computing limitation, it is unlikely that courts will permit such an exclusion if the sanction itself was sought after the limitation period.
COMMents
 SHARE

justice and rights

/

crime, law and justice

/

police

/

laws

/

terrorism (crime)

/

Jammu and Kashmir

/

politics

/

prison
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/vendetta-without-limit-the-hindu-editorial-on-the-resurrection-of-an-old-case-against-arundhati-roy-and-an-academician/article67412339.ece
6," October 12, 2023 12:20 am | Updated 04:22 pm IST ","
Central point: On the Madhya Pradesh Assembly polls
","To enjoy additional benefitsCONNECT WITH US October 12, 2023 12:20 am | Updated 04:22 pm IST 
COMMents
 SHARE

READ LATER
Madhya Pradesh, which is in the geographical centre of India, will likely witness a straight contest between the Bharatiya Janata Party (BJP) and the Congress in the Assembly election in November. The BJP is currently in power in the State, though it was the Congress that won the election five years ago in 2018. Using defections from the Congress, the BJP usurped power two years later in 2020. The BJP hopes to overcome the anti-incumbency that it has accumulated over 18 years through some deft moves and electoral experiments. The party has given enough indications that Chief Minister Shivraj Singh Chouhan will not continue in the event of the party winning another term; it has fielded seven Parliament members including three Union Ministers — Narendra Singh Tomar, Faggan Singh Kulaste, and Prahlad Singh Patel. The party is betting that it will be able to generate new enthusiasm among its fatigued cadres. The BJP strategy also deemphasises the performance of the State government and Mr. Chouhan and turns the spotlight on the personal image of Prime Minister Narendra Modi. The party’s campaigning focuses on social groups such as tribespeople even as it lays claim to being the sole spokesperson of Hindu identity politics, which manifests itself in acts such as the inauguration of a landmark statue of Adi Shankaracharya recently.The Congress, which is still nursing the wounds of the 2020 split, is trying to turn that setback in its favour in this round. The entry of Congress defectors into its fold unsettled the power balance within the BJP, particularly in the Gwalior-Chambal region, which might translate into electoral dividends for the Congress. The defections also shed some weight from the top for the Congress, helping it to better balance its internal affairs. All leaders now defer to former Chief Minister Kamal Nath who is firmly in command of the party campaign. Congress leader Rahul Gandhi’s Bharat Jodo Yatra had generated enthusiasm in the State, and he now commands a following that adds additional heft for the party. The Congress’s uncharacteristic plunge into caste politics by promising a caste-based survey across the country will be on test in Madhya Pradesh. Unlike Rajasthan and Chhattisgarh, the Congress does not have a considerable number of Other Backward Class leaders in Madhya Pradesh. The party may also have to deal with sniper attacks from the Aam Aadmi Party which may try to alter the bipolar nature of the contest. The biggest challenge for the Congress is to walk a tight rope on the question of Hindu identity politics, and avoid communal polarisation that the BJP instinctively resorts to when on the back foot.
COMMents
 SHARE

Caste

/

Madhya Pradesh Assembly Elections 2023

/

Bharatiya Janata Party

/

Indian National Congress

/

politics

/

Prime Minister Narendra Modi

/

Rajasthan

/

Chhattisgarh

/

religion and belief

/

Bharat Jodo Yatra

/

Aam Aadmi Party
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/central-point-the-hindu-editorial-on-the-madhya-pradesh-assembly-elections-in-november-2023/article67407980.ece
7," October 12, 2023 12:10 am | Updated 09:05 am IST ","
Spring cleaning: On GST regime reform  
","To enjoy additional benefitsCONNECT WITH US October 12, 2023 12:10 am | Updated 09:05 am IST 
COMMents
 SHARE

READ LATER
The Goods and Services Tax (GST) Council last Saturday lifted the haze on about a dozen tax treatment ambiguities, some of which have lingered since the indirect tax regime’s launch in July 2017, such as the tax on corporate and personal guarantees for bank loans. It slashed the GST on molasses from 28% to 5%, with a view to lower cattle feed costs and ease up cash flows for sugar mills so they may pay farmers’ dues faster. Rate tweaks and spring-cleaning clarifications apart, one of the significant outcomes was the decision not to exercise the Council’s power to tax extra neutral alcohol (ENA) used for alcoholic liquor. With alcohol for human consumption still outside the GST net, the indirect tax levy on ENA or high strength potable alcohol — a key ingredient — could not be set off against State levies on the final product. Industry had been seeking for clarity on this vexed issue for years, with courts taking varying positions. It is heartening that the Council, that met just twice in 2022, has met four times this year, and thrice in just four months, even if a few agenda items pertained to fixing anomalies in recent decisions. With the age norms for the president and members of the long-awaited GST Appellate Tribunals now harmonised with other tribunals — a clearly avoidable oversight — one hopes they will become operational soon. For consumers and producers, however, the biggest matter of concern should be the Council’s resolve to meet at a future date exclusively to discuss what Finance Minister Nirmala Sitharaman termed ‘perspective planning’ on the GST Compensation Cess and what kind of surcharge it could be replaced with. Originally packaged as a time-bound levy on top of a ‘Good and Simple Tax’ to compensate States for revenue losses for the first five years of GST, the COVID-19 pandemic’s hit on tax collections had triggered an extension of the Cess levied on so-called demerit goods such as aerated drinks, tobacco products and automobiles, till March 2026. Discouraging some sin goods may be desirable. However, ringing in a new cess must not be done in isolation, but as a part of the broader rationalisation of GST’s complex multiple-rate structure. That rationalisation exercise, initiated two years ago, unfortunately remains off the table despite robust revenue inflows in recent times. Frequent tweaks of irritants aside, the GST regime needs a holistic reform plan, including a road map to bring in excluded items such as electricity, petroleum and alcohol.
COMMents
 SHARE

taxes and duties

/

agriculture
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/spring-cleaning-the-hindu-editorial-on-gst-regime-reform/article67408516.ece
8," October 11, 2023 12:20 am | Updated 12:20 am IST ","
High stakes: On the Assembly elections in five States in November 2023
","To enjoy additional benefitsCONNECT WITH US October 11, 2023 12:20 am | Updated 12:20 am IST 
COMMents
 SHARE

READ LATER
There is a tendency to equate elections to the five States of Chhattisgarh, Mizoram, Madhya Pradesh, Rajasthan and Telangana, scheduled for next month, as a “semi-final” before the Lok Sabha polls, but it is wrong to do so as most have populations that rival that of major countries and have specific electoral concerns. What distinguishes this particular cycle of elections is the largely bipolar nature of the contest between the Bharatiya Janata Party and the Indian National Congress in three of them, with regional parties being significant only in Mizoram and Telangana. In all three north-central Indian States with a large Hindi-speaking population, the BJP has sought to cash in on the popularity of the Union government and increased support for its unabashed Hindutva ideology. The Congress seeks to upend this by promising a caste census and focusing on its record of implementing welfare measures, or through a list of committed guarantees. In Rajasthan, Chief Minister Ashok Gehlot remains popular on account of his government’s welfare measures, but his MLAs do not enjoy the same confidence, complicating his party’s task to retain power, even if the scourge of factionalism seems to have been muted for now. In Madhya Pradesh, Chief Minister Shivraj Chouhan has spent 18 years at the helm and faces anti-incumbency over issues related to government performance on the economy and social discrimination, but the fertile ground for Hindutva ideology in the State has provided the BJP a cache of committed voters that has kept it in the fray.In Chhattisgarh, Chief Minister Bhupesh Baghel has managed to stem dissidence within the Congress party and is also seeking to battle on his government’s welfare record — farm loan waivers, increase in support prices for crops and minor forest produce — besides seeking to pander to the voters’ sense of a regional identity. But the BJP again threatens to keep the contest close. A rejuvenated Congress following the Bharat Jodo Yatra and internal elections believes it has the organisational wherewithal to take on the better funded and more resourceful BJP in these three States and its performance could well determine its ability to effectively contest the 2024 polls. In Telangana, the Congress’s revival has been more evident, especially after its triumph in Karnataka. The grand old party now expects to provide a tough fight for the ruling Bharat Rashtra Samithi, with the BJP relegated to the role of a spoiler. The emergence of the Zoram People’s Movement has changed the equations in Mizoram, promising a three-cornered fight in a traditionally two-party system, but Chief Minister Zoramthanga of the ruling Mizo National Front expects the overhang of the Manipur situation and his government’s position to favour his party. These elections are no “semi-finals” but the stakes are high for the two national parties in the fray. 
COMMents
 SHARE

election

/

Chhattisgarh Assembly Elections 2023

/

Madhya Pradesh Assembly Elections 2023

/

Mizoram Assembly Elections 2023

/

Rajasthan Assembly Elections 2023

/

Telangana Assembly Elections 2023

/

Lok Sabha

/

General Elections 2024

/

Bharatiya Janata Party

/

Indian National Congress

/

Bharat Rashtra Samithi

/

welfare

/

religion and belief

/

economy (general)

/

social issue

/

Caste

/

population and census
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/high-stakes-the-hindu-editorial-on-the-assembly-elections-in-five-states-in-november-2023/article67404748.ece
9," October 11, 2023 12:10 am | Updated 10:55 am IST ","
Local sentiments: On the Ladakh Autonomous Hill Development Council-Kargil election
","To enjoy additional benefitsCONNECT WITH US October 11, 2023 12:10 am | Updated 10:55 am IST 
COMMents
 SHARE

READ LATER
The National Conference (NC)-Congress alliance has pulled off a thumping victory in the Ladakh Autonomous Hill Development Council-Kargil (LAHDC-K) election, blunting the efforts put in by the Bharatiya Janata Party (BJP) over four years to expand its base in Kargil since it came under the direct rule of the Centre in 2019. This was the first statement made by the Kargil electorate after 2019. Ladakh, comprising Muslim-majority Kargil and Buddhist-majority Leh districts, was granted Union Territory (UT) status, as the Centre decided to end the special constitutional position of the erstwhile State of Jammu and Kashmir (J&K) and split it into two UTs on August 5, 2019. The BJP had won the Ladakh Autonomous Hill Development Council-Leh elections, in 2020. Parties in J&K have called for early elections in the UT too. In Kargil, the NC won 12 seats and the Congress 10, in the 26-member council while the BJP had to be content with two. The election saw a 77.61% turnout, with a significant section of the migrant local population who worked and studied in parts of the country returning to cast their ballot. It is a reflection of how seriously these polls were viewed by the local electorate. Kargil has a total of 74,026 registered voters, spread sparsely in the mountains.In the last four years, Buddhists and Shia Muslims have jointly protested for special status for Ladakh under the Sixth Schedule of the Constitution to protect land, culture, jobs, languages, and environment. Demands for reunification with J&K or full statehood for Ladakh persist. The BJP had hoped to widen its base in Kargil on the basis of its development initiatives, especially the expansion of road works, new educational institutes and reserving lower-rung jobs only for locals. The NC saw these elections as a referendum on the 2019 reorganisation of J&K. Congress leader Rahul Gandhi, who toured Ladakh on a bike for over a week in August this year, became the first senior leader from the party to throw his weight behind the demands of the Kargil Democratic Alliance (KDA), an amalgam of various socio-political-religious groups, for special constitutional guarantees on land and jobs and a separate Lok Sabha seat for Kargil district. At present, Leh and Kargil together form one Lok Sabha seat. The larger message sent by the voters in Kargil to the BJP is that the final status of Ladakh remains an emotive issue. Also, the development push without special protections and constitutional recognition and an elected Assembly may not assuage the sentiments of locals in the region.
COMMents
 SHARE

Jammu and Kashmir

/

election

/

Ladakh

/

Indian National Congress

/

Bharatiya Janata Party

/

development

/

politics
BACK TO TOPComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",https://www.thehindu.com/opinion/editorial/local-sentiments-the-hindu-editorial-on-the-ladakh-autonomous-hill-development-council-kargil-election/article67404092.ece
